text	labels
 Environmental factors ( e.g. wind and runoff ) and species - specific traits ( e.g. life cycle strategy , spawning season ) determined ichthyoplankton exchange vs. retention .	 B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O
 Marine estuarine - related species entered LR mostly during summer - autumn , at their peak abundance in CW .	 B-DISTRIBUTION_DESCRIPTOR B-DISTRIBUTION_DESCRIPTOR O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O
 Sandbar closure did not impede the entrance of these species .	 B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O
 Overwashing events ( closed bar ) and light onshore winds during the open - sandbar period were the most important process that promoted the transport of these larvae into LR .	 O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O B-LIFE_STAGE O B-DISTRIBUTION_DESCRIPTOR O
 Conversely , there was no evidence of entrance of marine estuarine - independent larvae to LR .	 O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O B-LIFE_STAGE I-LIFE_STAGE O O O
 Eggs and larvae of estuarine species that spawned within LR were effectively retained there , except when heavy rains led to severe lagoon discharges .	 B-LIFE_STAGE O B-LIFE_STAGE O B-DISTRIBUTION_DESCRIPTOR O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O B-DISTRIBUTION_DESCRIPTOR O O
 Similarly , unusual strong onshore winds advected eggs from CW to LR , possibly reducing their survival .	 O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-LIFE_STAGE O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O O O O
 Generally , eggs were more vulnerable to drift than larvae .	 O O B-LIFE_STAGE O O O O O O B-LIFE_STAGE O
 Many of the estuarine larvae that drifted out of the lagoon seemed to survive , suggesting a loss of individuals from the lagoon population but a potential contribution to the genetic flux among coastal populations .	 O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR O O
 There is an urgent need to develop predictive indicators of the effect of species loss on ecosystem functioning .	 O O O O O O O O O O O O O O O O O O O
 Body size is often considered as a good indicator because of its relationship to extinction risk and several functional traits .	 B-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O O O O O O O
 Here , we examined the predictive capacity of species body size in marine and freshwater multitrophic systems .	 O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O B-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR O O O
 We found a significant , but weak , effect of body size on functioning .	 O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O O O
 The effect was much stronger when considering the effect of body size within trophic position levels .	 O O O O O O O O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O
 Compared to extinctions ordered by body size , random extinction sequences had lower multiple species loss effects on functioning .	 O O O O O B-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O
 Our study is the first to show experimentally , in multitrophic systems , a more negative impact of ordered extinction sequences on ecosystem functioning than random losses .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Our results suggest apparent ease in predicting species loss effect on functioning based on easily measured ecological traits that are body size and trophic position .	 O O O O O O O O O O O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O O O O
 Twenty - eight specimens of the large notothenioid Dissostichus mawsoni were dissected after capture on a set line near the southern limit of its range in McMurdo Sound , Antarctica .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Total length ( LT ) averaged 127.3 cm ( range 90±162 cm ) and weight ( W ) was 26.7 kg ( range 10.4±60.3 kg ) .	 B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O B-BODY_SIZE I-BODY_SIZE O O B-BODY_SIZE I-BODY_SIZE O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O B-BODY_SIZE I-BODY_SIZE O O B-BODY_SIZE I-BODY_SIZE O O
 The length - weight relationship was W=3.44  10ÿ5 L2:85 T ( n  28 , r2  0.96 ) .	 O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O B-BODY_SIZE O O O O O O O O O O O O O O
 Subcutaneous lipid thickness averaged 2.6 mm and showed no dierence due to sex , but a signi ® cant weak relationship to W and LT .	 O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O O O O B-BODY_SIZE O B-BODY_SIZE O
 Hepatosomatic index ( IH ) was 1.6 % for females and 1.7 % for males ; gonadosomatic index ( IG ) was 0.9 % for females and 0.2 % for males .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Although specimens were large and sexually mature , the histology indicated that the gonads of this November sample were in a resting stage .	 O O O O O O O O O O O O O O O O O O O O O O O O
 Testes lacked spermatids and spermatozoa .	 O O O O O O
 Oocytes were in the previtellogenic stage ( 91.2 % ) or in the ® rst stage of vitellogenesis ( 8.8 % ) .	 O O O O O O O O O O O O O O O O O O O O O O O
 A few atretic oocytes and empty follicles indicated that some females in this sample had spawned previously .	 O O O O O O O O O O O O O O O O O O
 A summary of the life - cycle is also presented The effect of body size on spatial resource competition and reproductive isolation was examined in a sister species pair of subtidal triplefin fishes ( F. Tripterygiidae ) in New Zealand .	 O O O O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O O O O O O O O O O O O O O
 Ruanoho decemdigitatus and Ruanoho whero have overlapping sympatric distributions and differ in body size , attaining a total length of 12 cm and 9 cm , respectively .	 O O O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O O O B-BODY_SIZE I-BODY_SIZE O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O
 R. decemdigitatus was most commonly found in sheltered areas shallower than 5 m , while R. whero was frequently found in sheltered to moderately exposed areas down to 20 m. In sites where the species co - occurred , R. whero was less associated with rock substratum .	 O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O
 The effect of body size on substratum use was investigated using laboratory trials based on the field data to test habitat preference and competitive ability in a common setting .	 O O O B-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O O O O O O O O O O O O O
 Reproductive behaviour was assessed in courtship , mate choice and hybridisation trials .	 O O O O O O O O O O O O O
 Both species exhibited similar habitat preferences , but large R. decemdigitatus were dominant in inter- and intraspecific contests for the preferred rock habitat , while small R. whero were displaced into less preferred habitats .	 O O O O O O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O
 Courtship behaviour in R. whero was a subset of that displayed by R. decemdigitatus , while no mating behaviour was observed in heterospecific trials .	 O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O
 Female R. whero showed a strong preference for smaller males , while female R. decemdigitatus had no preference for male size .	 O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O
 Results suggest that body size differences in the Ruanoho pair are consistent with female choice for smaller males in R. whero and competition for habitat in both species .	 O O O B-BODY_SIZE I-BODY_SIZE O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O
 Body size in the Ruanoho species appears to be influenced by conflicting selection pressures that may differ between the species .	 B-BODY_SIZE I-BODY_SIZE O O O O O O O O O O O O O O O O O O O
 The marine catfish genus Paraplotosus Bleeker is reviewed .	 O O O O O O O O O
 Three species are recognised : P. albilabris ( Valenciennes ) from the Indo - Australian Archipelago , P. muelleri ( Klunzinger ) from north - western Australia and adjacent Northern Territory , and an undescribed species from northern Australia .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Paraplotosus butleri , new species , is described from 40 specimens , 26 - 325 mm SL , collected mainly from coastal seas of northwestern Australia .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O
 It is clearly distinguishable from congeners by its black colouration , longer dorsal fin , longer barbels , and greater number oflowerlimb gill rakers and upper procurrent caudal rays .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Paraplotosus muelleri and P. albilabris are similar in appearance and habits , but are separable on the basis of dorsal fin height and eye size , which are invariably greater in P. muelleri .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Brief Review of the Genera Hemilepidotus and Melletes ( Cottidae ) and Some Traits of the Biology of a New Species for Russia Hemilepidotus zapus from Pacific Waters of the Northern Kurils Abstract — The Comparative morphological description of 248 specimens of six species of the genera Hemilepidotus and Melletes served as the basis for the assessment of the variation of over 28 external morphological features for the determination of taxonomical boundaries of species belonging to this group .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 Improved diagnoses of species are composed .	 O O O O O O O
 Significant transgression of most features previously used in identification is revealed .	 O O O O O O O O O O O O
 Additional taxonomic features are found .	 O O O O O O
 In combination with some previously used features , they are used in the key for reliable identification of species of both genera irrespective of localities , sex , age , and condition of a specimen .	 O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O
 In Russian waters , Hemilepidotus zapus is distributed off the Commander Islands and the Northern Kurils from Paramushir Island to Ketoy Island .	 O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O
 Taking into consideration trawl catches of 1996 - 2001 , the spatial - bathymetric distribution of , zapus in Pacific waters off the Northern Kurils ( from 47 ° 50 ' to 50 ° 30 ' N , depths of 100 - 850 m ) is analyzed , its thermal environment is characterized .	 O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O
 In the northern part of the investigated area near Paramushir Island , H. zapus is represented by larger specimens staying at greater depths than in the southern part ( on the slopes of the underwater ridge of the outer Kurils ) .	 O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O O O O O O O O O O O O O O O O O O B-DISTRIBUTION_DESCRIPTOR I-DISTRIBUTION_DESCRIPTOR O O O O O O
 This species is the smallest and the most short - cycled representative of the genus Hemilepidotus , whose maximum size reaches 26 cm and 330 g , and age reaches nine years .	 O O O O B-BODY_SIZE O O O O O O O O O O O O O B-BODY_SIZE I-BODY_SIZE O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O O O
 It spawns in August to September ; the spawning is single - batch ; fecundity is relatively low ( on average 12800 eggs ) ; there is dimorphism in size ( females are larger than males ) and in color and size of fins .	 O O O O O O O O O O O O O O O O O O O O O O B-LIFE_STAGE O O O O O O O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O O O O O B-BODY_SIZE I-BODY_SIZE I-BODY_SIZE O
