text	labels
not	O
.	O
Considerable	O
research	O
is	O
needed	O
to	O
advance	O
seahorse	O
conservation	O
and	O
management	O
,	O
including	O
(	O
a	O
)	O
fisheriesdependent	O
and	O
fisheries	O
-	O
independent	O
abundance	O
estimates	O
,	O
(	O
b	O
)	O
age-	O
or	O
stage	O
-	O
based	O
natural	O
and	O
fishing	O
mortalities	O
,	O
(	O
c	O
)	O
growth	O
rates	O
and	O
age	O
at	O
first	O
maturity	O
,	O
and	O
(	O
d	O
)	O
intrinsic	O
rates	O
of	O
increase	O
and	O
age-	O
or	O
size	O
-	O
specific	O
reproductive	O
output	O
.	O
Current	O
data	O
confirm	O
that	O
seahorses	O
are	O
likely	O
to	O
be	O
vulnerable	O
to	O
high	O
levels	O
of	O
exploitation	O
With	O
maximum	B-BODY_SIZE
sizes	I-BODY_SIZE
of	O
over	B-BODY_SIZE
100	I-BODY_SIZE
kg	I-BODY_SIZE
(	O
DeVries	O
1998	O
;	O
Kock	O
and	O
Everson	O
1998	O
)	O
,	O
the	O
Patagonian	O
and	O
Antarctic	O
tooth	O
®	O
sh	O
of	O
the	O
genus	O
Dissostichus	O
are	O
an	O
important	O
resource	O
and	O
the	O
largest	O
®	O
sh	O
in	O
the	O
Southern	O
Ocean	O
.	O
Their	O
size	B-BODY_SIZE
,	O
neutral	B-DISTRIBUTION_DESCRIPTOR
buoyancy	I-DISTRIBUTION_DESCRIPTOR
,	O
pelagic	B-DISTRIBUTION_DESCRIPTOR
nomadic	I-DISTRIBUTION_DESCRIPTOR
lifestyle	I-DISTRIBUTION_DESCRIPTOR
and	O
piscivorous	B-DISTRIBUTION_DESCRIPTOR
feeding	I-DISTRIBUTION_DESCRIPTOR
behaviour	I-DISTRIBUTION_DESCRIPTOR
are	O
unusual	O
within	O
a	O
notothenioid	O
group	O
dominated	O
by	O
small	O
,	O
sedentary	O
de	O
mersal	O
®	O
she	O
s	O
(	O
Eastman	O
1993	O
)	O
.	O
Dissostichus	O
eleginoides	O
Smitt	O
,	O
the	O
Patagonian	O
tooth	O
®	O
sh	O
,	O
lives	O
primarily	O
north	B-DISTRIBUTION_DESCRIPTOR
of	I-DISTRIBUTION_DESCRIPTOR
the	I-DISTRIBUTION_DESCRIPTOR
Antarctic	I-DISTRIBUTION_DESCRIPTOR
Zone	I-DISTRIBUTION_DESCRIPTOR
whereas	O
the	O
Antarctic	O
tooth	O
®	O
sh	O
,	O
D.	O
mawsoni	O
Norman	O
,	O
inhabits	O
colder	B-DISTRIBUTION_DESCRIPTOR
waters	I-DISTRIBUTION_DESCRIPTOR
between	O
the	O
Antarctic	B-DISTRIBUTION_DESCRIPTOR
Polar	I-DISTRIBUTION_DESCRIPTOR
Front	I-DISTRIBUTION_DESCRIPTOR
and	O
the	O
continental	B-DISTRIBUTION_DESCRIPTOR
margin	I-DISTRIBUTION_DESCRIPTOR
(	O
DeWitt	O
et	O
al	O
.	O
1990	O
)	O
